Restaurant_id,Restaurant_link,Retaurant Name,Rating,price_for_one_two,Cousines
58100,https://www.swiggy.com/restaurants/sagar-delicacy-sivanchetti-gardens-ulsoor-bangalore-58100,Sagar Delicacy,4.4,₹300 FOR TWO,"North Indian, South Indian, Chinese"
195893,https://www.swiggy.com/restaurants/sri-krishna-nandagokula-veg-ulsoor-indiranagar-bangalore-195893,Sri Krishna Nandagokula Veg,4,₹149 FOR TWO,"South Indian, Chinese, North Indian"
614642,https://www.swiggy.com/restaurants/soul-rasa-akkithimanahalli-shanti-nagar-bangalore-614642,Soul Rasa,4.4,₹400 FOR TWO,"Indian, Healthy Food, Home Food, South Indian, North Indian"
394070,https://www.swiggy.com/restaurants/tera-bites-khb-colony-koramangala-bangalore-394070,Tera Bites,4.3,₹200 FOR TWO,Chinese
101751,https://www.swiggy.com/restaurants/fiero-pizzeria-6th-block-koramangala-bangalore-101751,Fiero! Pizzeria,4,₹400 FOR TWO,"Pizzas, Italian, Pastas, Desserts, Beverages"
464835,https://www.swiggy.com/restaurants/bowl-soul-aga-abdullah-street-richmond-town-bangalore-464835,Bowl Soul,4,₹250 FOR TWO,"Indian, Asian, Continental, Pan-Asian, Chinese, Mediterranean, Mexican, Lebanese..."
3062,https://www.swiggy.com/restaurants/rolls-on-wheels-hanumanthanagar-st-marks-road-bangalore-3062,Rolls On Wheels,4.3,₹300 FOR TWO,Snacks
46650,https://www.swiggy.com/restaurants/richie-rich-sivananda-circle-race-course-road-bangalore-46650,Richie Rich,4.3,₹500 FOR TWO,"Desserts, Snacks, Chaat, Ice Cream"
66474,https://www.swiggy.com/restaurants/twiststick-house-kavi-lakshmisha-road-basavanagudi-bangalore-66474,Twiststick House,4,₹300 FOR TWO,"Jain, North Indian, Continental, Italian, Beverages, Thai"
322300,https://www.swiggy.com/restaurants/the-pastry-house-wilson-garden-shanti-nagar-bangalore-322300,The Pastry House,4.1,₹150 FOR TWO,Bakery
355450,https://www.swiggy.com/restaurants/kolkata-famous-kati-roll-chamarajpet-basavangudi-bangalore-355450,Kolkata Famous Kati Roll,3.6,₹99 FOR TWO,"Snacks, Beverages"
387335,https://www.swiggy.com/restaurants/biryani-by-kilo-6th-block-koramangala-bangalore-387335,Biryani By Kilo,4,₹500 FOR TWO,"Biryani, Hyderabadi, North Indian, Kebabs, Mughlai, Desserts"
353030,https://www.swiggy.com/restaurants/chowman-1st-stage-indiranagar-bangalore-353030,Chowman,4.2,₹800 FOR TWO,"Chinese, Thai, Seafood, Beverages, Desserts"
402710,https://www.swiggy.com/restaurants/warmoven-cake-and-desserts-millars-road-vasanth-nagar-bangalore-402710,WarmOven Cake & Desserts,3.7,₹200 FOR TWO,"Bakery, Desserts, Ice Cream, Beverages"
58746,https://www.swiggy.com/restaurants/srinidhi-sagar-deluxe-1st-stage-domlur-bangalore-58746,Srinidhi Sagar Deluxe,4.2,₹200 FOR TWO,"South Indian, North Indian, Indian, Chinese, Beverages, Desserts"
139114,https://www.swiggy.com/restaurants/main-lassi-shop-shivajinagar-no-55-cockburn-road-central-bangalore-bangalore-139114,Main Lassi Shop,3.8,₹250 FOR TWO,"Beverages, Juices, Ice Cream, Pizzas, Desserts"
561133,https://www.swiggy.com/restaurants/milana-fast-food-4th-block-koramangala-bangalore-561133,Milana Fast Food,3.5,₹320 FOR TWO,"South Indian, Chinese, Biryani"
